100SLPM Values
11/25/2019,2:48:13 PM
Register#,Value
16,199
17,16640
18,33792
19,27136
20,23
21,100
22,5000
23,0
24,0
25,-4342
26,54644
27,399433
28,32768
29,32768
30,32768
31,26
32,2057
33,-16021
34,6931
35,399433
36,32768
37,32768
38,1
39,32766
40,12298
41,32768
42,12288
43,35730
44,2057
45,8704
46,770
47,383
48,16929
49,64
50,1536000
51,1
52,33379
53,0
54,65535
55,32769
56,12288
57,32768
58,0
59,32793
60,2570
61,0
62,32768
63,0
64,32185
65,1
66,0
67,54484
68,0
69,7152
70,0
71,13500
72,0
73,65535
74,26643
75,1107
76,220171
77,19
78,1107
79,16972
80,0
81,65535
82,65535
83,65535
84,0
85,1
86,100
87,32770
88,30728
89,0
90,0
91,50
92,0
93,29815000
94,1469595
95,0
96,16432
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,0
105,305
106,81662
107,82018
108,82549
109,178
110,180
111,1
112,0
113,0
114,0
115,29
116,6251
117,60
118,6249
119,1
120,1
121,1
122,1
123,0
124,3
125,2
126,33128
127,0
128,4096
129,0
130,4096
131,0
132,4096
133,0
134,10
135,0
136,0
137,28870556
138,1469595
139,27315000
140,1469595
141,1
142,65535
143,0
144,10
145,2
146,7
147,7
148,0
149,4
150,0
151,0
152,0
153,189
154,32768
155,1360
156,1360
157,32768
158,2
159,0
